Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Herman Daly,University of Maryland College Park,University of Maryland College Park,Herman Edward Daly born July 21 1938 is an American ecological and Georgist economist and emeritus professor at the School of Public Policy of University of Maryland College Park in the United States best known for his time as a senior economist at the World Bank from 1988 to 1994,P108,Forwards
United Nations,United Nations General Assembly,General Assembly,The UN has six principal organs the General Assembly the Security Council the Economic and Social Council ECOSOC the Trusteeship Council the International Court of Justice and the UN Secretariat,P355,Forwards
West Africa,Togo,Togo,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P527,Forwards
V Jayaraman,India,Indian,Jayaraman is an Indian politician and a member of the Tamil Nadu Legislative Assembly from the Pollachi constituencyHe was previously selected from pollachi constituency 2001200620062011respectively and elected from constituency from 20112016he was Minister in the 2ND jayalalithaa government as Minister for Industries Environmentpollution control 20012002and again as Minister for foodcivil supplies and cooperative 20042006,P27,Forwards
Malabon,Philippines,Philippines,Malabon officially the City of Malabon Tagalog Lungsod ng Malabon is a 1st class highly urbanized city in the National Capital Region of the Philippines,P17,Forwards
Jared Diamond,Guns Germs and Steel,Guns Germs and Steel,Jared Mason Diamond born September 10 1937 is an American geographer historian ornithologist and author best known for his popular science books The Third Chimpanzee 1991 Guns Germs and Steel 1997 awarded a Pulitzer Prize Collapse 2005 The World Until Yesterday 2012 and Upheaval 2019,P50,Backwards
Australia,New South Wales,New South Wales,In 1770 Australias eastern half was claimed by Great Britain and initially settled through penal transportation to the colony of New South Wales from 26 January 1788 a date which became Australias national day,P17,Backwards
Aristotle,Athens,Athens,At seventeen or eighteen years of age he joined Platos Academy in Athens and remained there until the age of thirtyseven c,P551,Forwards
Leonardo DiCaprio,Greensburg TV series,Greensburg,DiCaprio is the founder of Appian Way Productions—a production company that has produced some of his films and the documentary series Greensburg 2008–2010—and the Leonardo DiCaprio Foundation a nonprofit organization devoted to promoting environmental awareness,P170,Backwards
Falkland Islands,United Kingdom,United Kingdom,FlagCoat of armsMotto160Desire the RightAnthem God Save the QueenUnofficial anthem Song of the FalklandsLocation of the Falkland IslandsSovereign stateUnited KingdomFirst settlement1764British rule reasserted3 January 1833Falklands War2 April to14 June 1982Current constitution1 January 2009Capitaland largest settlementStanley51°42′S 57°51′Wxfeff  xfeff51700°S 57850°Wxfeff  51700 57850Official languagesEnglishDemonymsFalkland Islander FalklanderGovernmentDevolved parliamentary dependency under a constitutional monarchy•160Monarch Elizabeth II•160Governor Nigel Phillips•160Chief Executive Barry Rowland,P1336,Forwards
Nova Scotia,New Brunswick,New Brunswick,The peninsula that makes up Nova Scotias mainland is connected to the rest of North America by the Isthmus of Chignecto on which the provinces land border with New Brunswick is located,P47,Backwards
Climate,Meteorology,Meteorology,Meteorology,P2579,Forwards
Sheila Sri Prakash,India,India,She is the founder of Shilpa Architects and is the first woman in India to have started and operated her own architectural practice,P27,Forwards
Geography of North Macedonia,North Macedonia,North Macedonia,North Macedonia is a country situated in southeastern Europe with geographic coordinates 41°50′N 22°00′Exfeff  xfeff41833°N 22000°Exfeff  41833 22000 bordering Kosovo and Serbia to the north Bulgaria to the east Greece to the south and Albania to the west,P1269,Forwards
Ranchor Prime,United Kingdom,British,Ranchor Prime is a British author researcher on Hindu environmental issues and a Hindu religious scholar,P27,Forwards
Sustainable Development Goals,Sustainable Development Goal 16,Peace Justice and Strong Institutions,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P527,Forwards
Vancouver,Greenpeace,Greenpeace,In 1969 Greenpeace was founded in Vancouver,P740,Backwards
National and Kapodistrian University of Athens,Athens,Athens,The National and Kapodistrian University of Athens NKUA Greek Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών Ethnikó ke Kapodistriakó Panepistímio Athinón usually referred to simply as the University of Athens UoA is a public university in Athens Greece,P159,Forwards
Institute of Corporate Responsibility and Sustainability,London,London,ICRS was launched on 9 July 2014 at Guildhall in London with speeches by the Lord Mayor of London Fiona Woolf the Minister for Civil Society Hon,P159,Forwards
Ontario,Toronto,Toronto,It is home to the nations capital city Ottawa and the nations most populous city Toronto which is also Ontarios provincial capital,P131,Backwards
Soil texture,Soil,soil,Soil texture is a classification instrument used both in the field and laboratory to determine soil classes based on their physical texture,P1552,Backwards
Ocean,Pacific Ocean,Pacific,A common definition lists five oceans in descending order by area the Pacific Atlantic Indian Southern Antarctic and Arctic Oceans,P31,Backwards
Bhutan,India,India,It is bordered by China to the north and India to the south,P47,Forwards
San Diego Zoo Wildlife Alliance,Nonprofit organization,notforprofit organization,San Diego Zoo Wildlife Alliance is a notforprofit organization headquartered in San Diego that operates the San Diego Zoo and the San Diego Zoo Safari Park,P31,Forwards
Botswana,South Africa,South Africa,It is bordered by South Africa to the south and southeast Namibia to the west and north and Zimbabwe to the northeast,P530,Backwards
Environmental Science  Technology,Environmental science,environmental science,It covers research in environmental science and environmental technology including environmental policy,P101,Forwards
Rio de Janeiro,Rio de Janeiro state,state of Rio de Janeiro,Rio de Janeiro is the capital of the state of Rio de Janeiro Brazils thirdmost populous state after São Paulo and Minas Gerais,P131,Forwards
Larry Fink,BlackRock,BlackRock,He is the chairman and CEO of BlackRock an American multinational investment management corporation,P108,Forwards
Borjomi,BorjomiKharagauli National Park,BorjomiKharagauli National Park,The town is noted for its mineral water industry which is the number one export of Georgia the Romanov summer palace in Likani and the World Wide Fund for Naturesite BorjomiKharagauli National Park,P131,Backwards
Soreang,Indonesia,Indonesia,Soreang Sundanese ᮞᮧᮛᮦᮃᮀ is a town and district of Bandung Regency West Java Indonesia,P17,Forwards
Czech Republic,United States,United States,It ranks 12th in the UN inequalityadjusted human development and 14th in the World Bank Human Capital Index ahead of countries such as the United States the United Kingdom and France,P530,Forwards
Sustainable Development Goal 5,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 5 SDG 5 or Global Goal 5 concerns gender equality and is fifth of the 17 Sustainable Development Goals established by the United Nations in 2015,P527,Backwards
Biliran Airport,Philippines,Philippines,Biliran Airport Cebuano Tugpahanan sa Biliran Waray Luparan han Biliran Filipino Paliparan ng Biliran ICAO RPVQ is an airport serving the general area of the island of Biliran located in the province of Biliran in the Philippines,P17,Forwards
Denmark,Sweden,Sweden,Denmark lies southwest of Sweden and south of Norway91N 1293 and is bordered to the south by Germany,P47,Forwards
Simplicity,Simple living,simple living,In human lifestyles simplicity can denote freedom from excessive possessions or distractions such as having a simple living style,P1552,Backwards
Brussels,Belgium,Belgium,Brussels French Bruxelles bʁysɛl32listen or bʁyksɛl32listen Dutch Brussel ˈbrʏsəl32listen officially the BrusselsCapital Region French Région de BruxellesCapitale91a93 Dutch Brussels Hoofdstedelijk Gewest91b93 is a region of Belgium comprising 19 municipalities including the City of Brussels which is the capital of Belgium,P131,Forwards
Songhor Lagoon,Ghana,Ghana,The Songor Lagoon is located at 05°45N 000°30E on the eastern coast of Ghana West Africa,P17,Forwards
Eddsworld,United Kingdom,United Kingdom,At the time of Goulds death in March of 2012 his YouTube channel had the most subscribers in the comedian category for the United Kingdom and was the 4th most viewed comedian in the United Kingdom,P495,Forwards
United Nations Framework Convention on Climate Change,Kyoto Protocol,Kyoto Protocol,The Kyoto Protocol which was signed in 1997 and which entered into force in 2005 was the first implementation of measures under the UNFCCC until 31 December 2020,P361,Backwards
COVID19 pandemic,COVID19,coronavirus disease 2019,The COVID19 pandemic also known as the coronavirus pandemic is an ongoing global pandemic of coronavirus disease 2019 COVID19 which is caused by severe acute respiratory syndrome coronavirus 2 SARSCoV2,P1542,Backwards
Succulent Karoo,Namibia,Namibia,The Succulent Karoo is a ecoregion defined by the World Wide Fund for Nature to include regions of desert in South Africa and Namibiaand a biodiversity hotspot,P17,Forwards
